French,English,Spanish
partie,part,parte
histoire,history,historia
chercher,search,buscar
seulement,only,solamente
police,police,policía
pensais,thought,pensamiento
aide,help,Ayuda
demande,request,petición
genre,kind,género
mois,month,mes
frère,brother,hermano
laisser,let,dejar 
car,because,porque
mettre,to put,poner
aucun,no,no
laisse,leash,dejar solo
eux,them,a ellos
ville,city,ciudad
chaque,each,cada
parlé,speak,hablar
arrivé,come,ven
devrait,should,debería
bébé,baby,Bebé
longtemps,long time,mucho tiempo
heures,hours,tiempo
vont,will,van
pendant,while,durante
revoir,meet again,ver otra vez
aucune,any,ninguna
place,square,cuadrado
parle,speak,hablar
compris,understood,comprendido
savais,knew,supo
étaient,were,fueron
attention,Warning,atención
voici,here is,aquí está
pourrais,could,podría
affaire,case,asunto
donner,give,dar
type,type,clase
leurs,their,su
donné,given,dado
train,train,tren
corps,body,cuerpo
endroit,place,lugar
yeux,eyes,ojos
façon,way,camino
écoute,listen,escucha
dont,whose,cuyo
trouve,find,encontrar
premier,first,primero
perdu,lost,perdió
main,hand,mano
première,first,primero
côté,side,lado
pouvoir,power,poder
vieux,old,antiguo 
sois,be,ser
tiens,here,tomar
matin,morning,Mañana
tellement,so much,tal
enfant,child,niño
point,point,punto
venu,came,llegó
suite,after,después
pardon,sorry,Lo siento
venez,come,ven
devant,in front of,delante
vers,towards,hacia
minutes,minutes,minutos
demandé,request,preguntó
chambre,bedroom,habitación
mis,placed,poner
belle,beautiful,precioso
droit,law,correcto
aimerais,would like to,gustaria
aujourd'hui,today,hoy dia
mari,husband,esposo
cause,cause,causa
enfin,finally,por fin
espère,hope,esperar
eau,water,agua
attendez,Wait,Espere
parti,left,izquierda
nouvelle,new,nueva
boulot,job,Curro
arrêter,Stop,parar
dirait,would say,diría
terre,Earth,tierra
compte,account,cuenta
donne,given,dado
loin,far,lejos
fin,end,fin
croire,believe,creer
chérie,sweetheart,Cariño
gros,large,grueso
plutôt,rather,en cambio
aura,will have,tendrá
filles,girls,muchachas
jouer,to play,jugador
bureau,office,despacho